snet id,list,sent,POS tag,word num,identified word,replacement string
11405,"['add', 'owner', 'irresponsible']","She added: ""These owners are irresponsible...",Verb,0,add,"['UNK', 'owner', 'irresponsible']"
11405,"['add', 'owner', 'irresponsible']","She added: ""These owners are irresponsible...",Noun,1,owner,"['add', 'UNK', 'irresponsible']"
11405,"['add', 'owner', 'irresponsible']","She added: ""These owners are irresponsible...",Adjective,,,"['add', 'owner', 'UNK']"
874,"['admit', 'addict', 'tan']",She admits being addicted to tanning when she was 17 and 18.,Verb,1,addict,"['admit', 'UNK', 'tan']"
874,"['admit', 'addict', 'tan']",She admits being addicted to tanning when she was 17 and 18.,Noun,2,tan,"['admit', 'addict', 'UNK']"
874,"['admit', 'addict', 'tan']",She admits being addicted to tanning when she was 17 and 18.,Adjective,,,"['admit', 'UNK', 'tan']"
8040,"['admit', 'hard', 'give', 'call', 'best', 'job', 'world', 'doctor', 'tennant']","David Tennant has admitted it's hard giving up what he calls ""the best job in the world"" as Doctor Who.",Verb,0,admit,"['UNK', 'hard', 'give', 'call', 'best', 'job', 'world', 'doctor', 'tennant']"
8040,"['admit', 'hard', 'give', 'call', 'best', 'job', 'world', 'doctor', 'tennant']","David Tennant has admitted it's hard giving up what he calls ""the best job in the world"" as Doctor Who.",Noun,5,job,"['admit', 'hard', 'give', 'call', 'best', 'UNK', 'world', 'doctor', 'tennant']"
8040,"['admit', 'hard', 'give', 'call', 'best', 'job', 'world', 'doctor', 'tennant']","David Tennant has admitted it's hard giving up what he calls ""the best job in the world"" as Doctor Who.",Adjective,4,best,"['admit', 'hard', 'give', 'call', 'UNK', 'job', 'world', 'doctor', 'tennant']"
4179,"['afraid', 'people', 'get', 'little', 'complacent', 'disease', 'go', 'unsafe', 'sex', 'say']","""I'm afraid people do get a little complacent about the disease by going out and having unsafe sex,"" he said.",Verb,6,go,"['afraid', 'people', 'get', 'little', 'complacent', 'disease', 'UNK', 'unsafe', 'sex', 'say']"
